
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.17106250000E+07; -0.770006     ;-0.58113      
   6.17125000000E+07; -0.770999     ;-0.580576     
   6.17143750000E+07; -0.772356     ;-0.578202     
   6.17162500000E+07; -0.774467     ;-0.57665      
   6.17181250000E+07; -0.772922     ;-0.577583     
   6.17200000000E+07; -0.772237     ;-0.575304     
   6.17218750000E+07; -0.77433      ;-0.572921     
   6.17237500000E+07; -0.77591      ;-0.572358     
   6.17256250000E+07; -0.772274     ;-0.570929     
   6.17275000000E+07; -0.777667     ;-0.576201     
   6.17293750000E+07; -0.776907     ;-0.570546     
   6.17312500000E+07; -0.780625     ;-0.568231     
   6.17331250000E+07; -0.776963     ;-0.570053     
   6.17350000000E+07; -0.78105      ;-0.569041     
   6.17368750000E+07; -0.777838     ;-0.566747     
   6.17387500000E+07; -0.779253     ;-0.566527     
   6.17406250000E+07; -0.781048     ;-0.564257     
   6.17425000000E+07; -0.78344      ;-0.562702     
   6.17443750000E+07; -0.785834     ;-0.562613     
   6.17462500000E+07; -0.780414     ;-0.561842     
   6.17481250000E+07; -0.784725     ;-0.562046     
   6.17500000000E+07; -0.784515     ;-0.561762     
   6.17518750000E+07; -0.787278     ;-0.559715     
   6.17537500000E+07; -0.788203     ;-0.556788     
   6.17556250000E+07; -0.784817     ;-0.55905      
   6.17575000000E+07; -0.787139     ;-0.557647     
   6.17593750000E+07; -0.786923     ;-0.558461     
   6.17612500000E+07; -0.788165     ;-0.556433     
   6.17631250000E+07; -0.789481     ;-0.554826     
   6.17650000000E+07; -0.789529     ;-0.553659     
   6.17668750000E+07; -0.790963     ;-0.552037     
   6.17687500000E+07; -0.791365     ;-0.552019     
   6.17706250000E+07; -0.791183     ;-0.549964     
   6.17725000000E+07; -0.789616     ;-0.550174     
   6.17743750000E+07; -0.793076     ;-0.550986     
   6.17762500000E+07; -0.793183     ;-0.5513       
   6.17781250000E+07; -0.793209     ;-0.54936      
   6.17800000000E+07; -0.795537     ;-0.54711      
   6.17818750000E+07; -0.795967     ;-0.543949     
   6.17837500000E+07; -0.795155     ;-0.545806     
   6.17856250000E+07; -0.795136     ;-0.542358     
   6.17875000000E+07; -0.796537     ;-0.543707     
   6.17893750000E+07; -0.798458     ;-0.54583      
   6.17912500000E+07; -0.797591     ;-0.542421     
   6.17931250000E+07; -0.800479     ;-0.537739     
   6.17950000000E+07; -0.798149     ;-0.539905     
   6.17968750000E+07; -0.800878     ;-0.538448     
   6.17987500000E+07; -0.801808     ;-0.538281     
   6.18006250000E+07; -0.801401     ;-0.538376     
   6.18025000000E+07; -0.801269     ;-0.537753     
   6.18043750000E+07; -0.802433     ;-0.534624     
   6.18062500000E+07; -0.801047     ;-0.532914     
   6.18081250000E+07; -0.803564     ;-0.535851     
   6.18100000000E+07; -0.803342     ;-0.529815     
   6.18118750000E+07; -0.804333     ;-0.530236     
   6.18137500000E+07; -0.80483      ;-0.530259     
   6.18156250000E+07; -0.804613     ;-0.528957     
   6.18175000000E+07; -0.805904     ;-0.528455     
   6.18193750000E+07; -0.80719      ;-0.527763     
   6.18212500000E+07; -0.806327     ;-0.525423     
   6.18231250000E+07; -0.807555     ;-0.526078     
   6.18250000000E+07; -0.807672     ;-0.525346     
   6.18268750000E+07; -0.807997     ;-0.523475     
   6.18287500000E+07; -0.80979      ;-0.5209       
   6.18306250000E+07; -0.810659     ;-0.522053     
   6.18325000000E+07; -0.808099     ;-0.520238     
   6.18343750000E+07; -0.81275      ;-0.519903     
   6.18362500000E+07; -0.811835     ;-0.517953     
   6.18381250000E+07; -0.813576     ;-0.519815     
   6.18400000000E+07; -0.814071     ;-0.51437      
   6.18418750000E+07; -0.813001     ;-0.516488     
   6.18437500000E+07; -0.812781     ;-0.515527     
